222.5399999999997
('88', '861')
('226', '825')
('234', '445')
('259', '896')
('286', '603')
('387', '295')
('427', '78')
('502', '202')
('546', '433')
('568', '816')
('759', '716')
('787', '961')
('933', '694')
('956', '457')
('976', '271')
('41', '635')
('45', '421')
('52', '491')
('55', '732')
('57', '232')
('85', '402')
('158', '565')
('160', '212')
('199', '620')
('218', '426')
('239', '453')
('282', '487')
('286', '367')
('326', '479')
('356', '638')
('506', '115')
('534', '136')
('592', '622')
('602', '561')
('634', '310')
('638', '898')
('645', '326')
('698', '255')
('721', '513')
('748', '551')
('788', '234')
('805', '341')
('829', '291')
('876', '914')
('887', '33')
('923', '702')
('930', '271')
('982', '224')
('83', '389')
('99', '818')
('113', '297')
('142', '6')
('245', '897')
('259', '877')
('369', '825')
('385', '354')
('424', '452')
('492', '20')
('563', '396')
('607', '248')
('686', '112')
('693', '636')
('772', '963')
('783', '608')
('812', '546')
('858', '225')
('860', '870')
('961', '792')
('999', '272')
('31', '208')
('70', '137')
('125', '855')
('139', '776')
('181', '157')
('198', '939')
('207', '619')
('226', '496')
('256', '636')
('285', '698')
('306', '268')
('340', '927')
('377', '344')
('397', '157')
('398', '409')
('434', '923')
('441', '393')
('524', '297')
('531', '632')
('598', '645')
('636', '790')
('652', '721')
('658', '315')
('665', '538')
('739', '421')
('762', '811')
('785', '439')
('798', '477')
('852', '276')
('982', '510')
('987', '95')
('998', '554')
('9', '901')
('66', '146')
('81', '969')
('99', '599')
('103', '185')
('123', '396')
('126', '986')
('130', '790')
('138', '856')
('147', '980')
('165', '199')
('197', '184')
('213', '609')
('310', '463')
('345', '334')
('350', '92')
('515', '318')
('591', '488')
('631', '762')
('690', '613')
('695', '763')
('742', '71')
('763', '151')
('828', '150')
('873', '305')
('900', '814')
('940', '327')
('962', '976')
('965', '959')
('50', '198')
('58', '953')
('73', '212')
('81', '310')
('333', '175')
('379', '534')
('453', '756')
('478', '825')
('502', '266')
('561', '348')
('645', '211')
('651', '224')
('652', '164')
('683', '338')
('727', '192')
('733', '865')
('771', '324')
('783', '13')
('831', '787')
('837', '250')
('846', '700')
('855', '98')
('861', '168')
('916', '276')
('949', '222')
('962', '315')
('1000', '48')
('53', '932')
('66', '856')
('81', '542')
('115', '21')
('123', '651')
('159', '736')
('216', '285')
('222', '209')
('288', '238')
('359', '144')
('390', '895')
('408', '235')
('536', '897')
('580', '117')
('607', '395')
('616', '520')
('678', '558')
('697', '66')
('714', '65')
('776', '927')
('782', '849')
('816', '659')
('843', '158')
('890', '993')
('899', '109')
('945', '695')
('66', '217')
('83', '620')
('165', '500')
('183', '900')
('193', '557')
('204', '173')
('232', '87')
('233', '652')
('313', '844')
('317', '569')
('353', '802')
('361', '373')
('371', '23')
('376', '577')
('496', '652')
('520', '549')
('580', '232')
('923', '289')
('938', '461')
('32', '794')
('41', '382')
('46', '350')
('56', '632')
('59', '689')
('97', '346')
('98', '465')
('141', '804')
('173', '778')
('249', '550')
('279', '30')
('310', '679')
('349', '200')
('378', '357')
('379', '392')
('383', '490')
('492', '161')
('595', '848')
('646', '763')
('670', '278')
('672', '32')
('724', '320')
('727', '790')
('739', '53')
('747', '744')
('757', '940')
('782', '449')
('802', '347')
('821', '353')
('847', '864')
('848', '312')
('912', '250')
('927', '25')
('944', '523')
('951', '182')
('995', '188')
('998', '228')
('10', '125')
('41', '729')
('148', '481')
('168', '856')
('208', '776')
('229', '825')
('230', '632')
('244', '190')
('280', '135')
('356', '474')
('394', '739')
('424', '857')
('430', '483')
('476', '706')
('509', '369')
('556', '201')
('564', '873')
('595', '507')
('690', '76')
('719', '247')
('762', '1')
('766', '840')
('788', '200')
('808', '831')
('809', '342')
('858', '730')
('914', '947')
('974', '831')
('983', '138')
('15', '107')
('73', '770')
('227', '54')
('279', '990')
('284', '82')
('286', '64')
('334', '94')
('407', '44')
('420', '91')
('441', '603')
('456', '266')
('473', '547')
('482', '56')
('528', '178')
('580', '637')
('700', '926')
('733', '284')
('738', '27')
('745', '253')
('760', '37')
('807', '260')
('843', '324')
('873', '884')
('879', '707')
('883', '852')
('893', '982')
('930', '934')
('957', '580')
('971', '691')
('65', '551')
('104', '487')
('175', '14')
('237', '341')
('285', '709')
('315', '420')
('404', '320')
('430', '991')
('461', '449')
('464', '181')
('535', '808')
('539', '626')
('573', '807')
('585', '134')
('631', '110')
('631', '666')
('711', '391')
('732', '478')
('771', '552')
('787', '317')
('831', '920')
('887', '106')
('932', '408')
('933', '261')
('957', '100')
('965', '11')
('60', '905')
('75', '690')
('152', '262')
('177', '695')
('257', '841')
('281', '326')
('313', '412')
('323', '754')
('365', '592')
('386', '345')
('387', '553')
('438', '87')
('509', '107')
('568', '774')
('589', '239')
('598', '398')
('600', '491')
('663', '51')
('695', '202')
('698', '515')
('796', '566')
('843', '864')
('884', '361')
('915', '933')
('973', '456')
('976', '968')
('21', '814')
('46', '755')
('215', '307')
('215', '875')
('309', '34')
('333', '761')
('453', '570')
('488', '677')
('548', '33')
('637', '534')
('642', '136')
('644', '611')
('676', '53')
('735', '917')
('820', '831')
('848', '166')
('875', '398')
('923', '542')
('939', '716')
('948', '263')
('986', '686')
('42', '18')
('45', '840')
('55', '859')
('86', '852')
('172', '33')
('211', '186')
('240', '687')
('392', '794')
('395', '895')
('398', '633')
('412', '885')
('416', '232')
('484', '243')
('550', '888')
('590', '635')
('597', '460')
('601', '585')
('700', '680')
('758', '953')
('844', '992')
('868', '260')
('875', '204')
('925', '974')
('962', '739')
('979', '462')
('77', '594')
('83', '489')
('86', '187')
('100', '830')
('204', '713')
('213', '598')
('217', '727')
('279', '83')
('352', '302')
('364', '86')
('426', '744')
('468', '772')
('504', '937')
('531', '317')
('675', '353')
('683', '443')
('748', '161')
('836', '997')
('948', '125')
('41', '874')
('75', '425')
('96', '803')
('104', '265')
('122', '924')
('153', '368')
('174', '769')
('293', '445')
('306', '992')
('351', '417')
('352', '976')
('353', '260')
('393', '208')
('433', '869')
('495', '133')
('561', '472')
('681', '285')
('694', '852')
('710', '153')
('746', '118')
('753', '584')
('761', '954')
('789', '925')
('797', '35')
('850', '27')
('956', '516')
('117', '923')
('195', '325')
('224', '218')
('277', '542')
('307', '883')
('313', '571')
('327', '278')
('401', '374')
('448', '999')
('497', '645')
('547', '858')
('558', '333')
('580', '981')
('583', '727')
('608', '395')
('683', '36')
('690', '9')
('709', '959')
('838', '754')
('860', '997')
('899', '850')
('933', '910')
('965', '885')
('25', '158')
('114', '431')
('163', '246')
('168', '20')
('183', '725')
('229', '904')
('231', '676')
('248', '481')
('272', '222')
('314', '200')
('344', '231')
('417', '437')
('469', '895')
('482', '919')
('498', '816')
('500', '658')
('613', '769')
('616', '97')
('654', '372')
('662', '579')
('714', '863')
('734', '422')
('769', '429')
('781', '961')
('786', '636')
('814', '757')
('817', '385')
('939', '775')
('960', '58')
('984', '852')
('11', '279')
('32', '302')
('50', '604')
('73', '746')
('124', '336')
('237', '90')
('249', '181')
('303', '376')
('304', '904')
('357', '955')
('414', '825')
('525', '315')
('545', '866')
('771', '202')
('781', '173')
('811', '489')
('835', '105')
('850', '267')
('857', '957')
('894', '206')
('900', '603')
('900', '624')
('908', '8')
('918', '735')
('938', '574')
('989', '382')
('38', '344')
('120', '1')
('124', '77')
('140', '742')
('187', '151')
('247', '165')
('258', '882')
('275', '288')
('294', '760')
('296', '909')
('299', '51')
('338', '619')
('426', '617')
('427', '670')
('451', '713')
('469', '121')
('484', '435')
('505', '925')
('564', '831')
('687', '91')
('717', '665')
('732', '539')
('920', '385')
('15', '295')
('70', '739')
('135', '540')
('161', '153')
('166', '258')
('236', '946')
('325', '793')
('355', '808')
('379', '595')
('390', '858')
('487', '341')
('527', '72')
('533', '890')
('617', '921')
('628', '326')
('649', '274')
('661', '973')
('664', '992')
('701', '691')
('858', '901')
('893', '507')
('896', '109')
('911', '131')
('23', '179')
('30', '732')
('195', '278')
('201', '699')
('216', '884')
('218', '191')
('235', '7')
('240', '169')
('290', '546')
('478', '320')
('495', '365')
('523', '100')
('543', '820')
('605', '988')
('613', '975')
('757', '898')
('763', '485')
('776', '189')
('807', '624')
('825', '586')
('828', '895')
('907', '237')
('942', '835')
('994', '532')
('39', '68')
('79', '262')
('96', '39')
('126', '475')
('193', '457')
('198', '303')
('222', '431')
('228', '214')
('251', '43')
('263', '504')
('289', '871')
('310', '473')
('318', '132')
('350', '468')
('435', '709')
('479', '660')
('495', '949')
('522', '162')
('663', '276')
('701', '613')
('856', '635')
('19', '864')
('21', '568')
('73', '575')
('103', '485')
('236', '820')
('250', '759')
('279', '722')
('294', '633')
('296', '562')
('316', '436')
('317', '178')
('322', '194')
('374', '382')
('389', '34')
('467', '845')
('478', '674')
('482', '220')
('591', '985')
('805', '600')
('855', '935')
('900', '956')
('961', '194')
('983', '713')
('121', '657')
('141', '121')
('223', '228')
('326', '995')
('341', '611')
('428', '439')
('526', '873')
('550', '287')
('565', '282')
('574', '173')
('622', '818')
('741', '718')
('820', '10')
('820', '63')
('857', '68')
('872', '988')
('889', '373')
('911', '10')
('928', '379')
('958', '964')
('970', '653')
('985', '589')
('8', '947')
('20', '798')
('40', '333')
('85', '449')
('140', '494')
('166', '249')
('221', '28')
('221', '440')
('225', '59')
('293', '800')
('350', '173')
('425', '767')
('466', '160')
('573', '796')
('573', '991')
('606', '448')
('666', '677')
('707', '150')
('722', '958')
('764', '970')
('827', '681')
('843', '16')
('22', '553')
('23', '676')
('37', '349')
('152', '220')
('157', '418')
('186', '2')
('194', '337')
('313', '605')
('314', '720')
('318', '914')
('340', '913')
('383', '908')
('386', '332')
('411', '688')
('518', '932')
('527', '761')
('569', '447')
('611', '700')
('750', '666')
('784', '237')
('796', '588')
('830', '746')
('834', '659')
('913', '749')
('925', '196')
('76', '618')
('91', '291')
('115', '512')
('117', '999')
('244', '499')
('253', '348')
('332', '249')
('410', '783')
('493', '15')
('527', '729')
('536', '309')
('672', '967')
('731', '474')
('759', '386')
('832', '824')
('853', '936')
('894', '177')
('103', '715')
('119', '880')
('140', '95')
('381', '186')
('407', '655')
('440', '559')
('459', '511')
('558', '336')
('768', '11')
('782', '27')
('819', '668')
('846', '683')
('890', '236')
('960', '315')
('62', '964')
('188', '242')
('224', '370')
('330', '749')
('358', '741')
('493', '941')
('522', '161')
('542', '105')
('572', '921')
('623', '5')
('754', '674')
('756', '44')
('766', '706')
('813', '722')
('995', '559')
('263', '621')
('406', '593')
('450', '189')
('456', '417')
('470', '419')
('587', '174')
('642', '851')
('697', '688')
('705', '47')
('740', '430')
('823', '172')
('994', '300')
('214', '114')
('315', '446')
('380', '656')
('405', '273')
('509', '615')
('556', '214')
('639', '532')
('801', '805')
('853', '204')
('905', '4')
('11', '641')
('161', '668')
('288', '426')
('297', '371')
('321', '526')
('362', '966')
('391', '844')
('572', '737')
('601', '169')
('678', '795')
('740', '67')
('779', '745')
('857', '176')
('883', '549')
('6', '839')
('129', '543')
('158', '905')
('258', '742')
('338', '142')
('352', '454')
('378', '478')
('436', '954')
('546', '386')
('584', '717')
('636', '12')
('773', '835')
('785', '103')
('814', '862')
('980', '365')
('61', '31')
('115', '950')
('250', '503')
('359', '140')
