22107.14000000049
('127', '62074')
('131', '54118')
('247', '26168')
('254', '93264')
('349', '89602')
('421', '18094')
('457', '70939')
('489', '86207')
('595', '27848')
('670', '95417')
('764', '67147')
('794', '14131')
('829', '30593')
('920', '82883')
('950', '66755')
('977', '32095')
('979', '51450')
('1010', '61105')
('1023', '35985')
('1074', '2500')
('1081', '44282')
('1083', '84389')
('1124', '43302')
('1249', '44314')
('1334', '73510')
('1360', '24611')
('1378', '86754')
('1564', '2040')
('1645', '80829')
('1715', '66611')
('1769', '6245')
('1855', '73159')
('1929', '65159')
('1955', '6945')
('2293', '45688')
('2415', '48841')
('2536', '20835')
('2573', '29455')
('2706', '15485')
('2722', '81746')
('2882', '28011')
('3061', '60449')
('3074', '66550')
('3251', '78183')
('3289', '14865')
('3350', '74505')
('3470', '57655')
('3570', '81506')
('3670', '48261')
('3756', '18498')
('3756', '96779')
('4038', '62324')
('4102', '72495')
('4220', '94378')
('4246', '6305')
('4306', '84785')
('4357', '67793')
('4575', '99787')
('4596', '35994')
('4605', '29217')
('4629', '84559')
('4754', '15904')
('4944', '89075')
('4979', '98505')
('4989', '38061')
('5003', '49951')
('5051', '32729')
('5084', '78454')
('5096', '49520')
('5127', '96381')
('5185', '7703')
('5282', '51967')
('5293', '89750')
('5432', '29072')
('5507', '94753')
('5702', '83441')
('5799', '20709')
('5860', '55809')
('5981', '30717')
('6135', '83226')
('6231', '34066')
('6278', '80296')
('6384', '45386')
('6390', '53899')
('6620', '94433')
('6667', '43761')
('6793', '96501')
('6862', '28879')
('6962', '39915')
('7037', '73037')
('7210', '92340')
('7228', '28742')
('7338', '59966')
('7403', '41057')
('7432', '13020')
('7435', '8997')
('7684', '87531')
('7703', '90193')
('7744', '50093')
('7773', '71706')
('7856', '72078')
('8017', '10796')
('8065', '78404')
('8068', '11026')
('8101', '51456')
('8117', '60010')
('8200', '25007')
('8217', '77674')
('8415', '6751')
('8488', '97546')
('8490', '2339')
('8573', '97055')
('8762', '59530')
('8808', '58175')
('8833', '6501')
('8835', '61445')
('8892', '95985')
('8925', '60611')
('9115', '43710')
('9252', '31698')
('9382', '9481')
('9426', '76928')
('9494', '48531')
('9661', '94760')
('9952', '94706')
('10029', '81821')
('10065', '6343')
('10113', '62206')
('10153', '99661')
('10346', '18569')
('10397', '85336')
('10465', '78215')
('10496', '57343')
('10520', '51856')
('10569', '84563')
('10673', '40107')
('10689', '37357')
('10720', '52875')
('10728', '99043')
('10813', '25828')
('10930', '74190')
('11014', '58772')
('11051', '11858')
('11093', '80192')
('11237', '81713')
('11274', '93457')
('11543', '87972')
('11578', '97024')
('11606', '75415')
('11640', '81285')
('11699', '37982')
('11759', '54697')
('11915', '82286')
('11986', '61282')
('12060', '89151')
('12233', '14872')
('12317', '6584')
('12363', '63094')
('12369', '43440')
('12446', '53903')
('12458', '20613')
('12509', '90482')
('12721', '13226')
('12727', '29213')
('12782', '23710')
('12863', '18772')
